t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908510.015578,14.911336,0.0075,-0.0025,-0.0332,0.5084,0.0204,-0.8609
1908510.033578,14.929336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.049578,14.945336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.065578,14.961336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908510.083578,14.979336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908510.099578,14.995336,0.0075,-0.0025,-0.0332,0.5084,0.0204,-0.8609
1908510.116578,15.012336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.133578,15.029336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908510.149578,15.045336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.166578,15.062336,0.0075,-0.0024,-0.0332,0.5083,0.0205,-0.8609
1908510.184578,15.080336,0.0075,-0.0025,-0.0332,0.5084,0.0203,-0.8609
1908510.200578,15.096336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.215578,15.111336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.248578,15.144336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.266578,15.162336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.283578,15.179336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.299578,15.195336,0.0075,-0.0024,-0.0332,0.5083,0.0205,-0.8609
1908510.316578,15.212336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.333578,15.229336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.350578,15.246336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908510.366578,15.262336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.382578,15.278336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.399578,15.295336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908510.416578,15.312336,0.0075,-0.0024,-0.0332,0.5085,0.0204,-0.8608
1908510.433578,15.329336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.450578,15.346336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908510.466578,15.362336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908510.483578,15.379336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.499578,15.395336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.516578,15.412336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908510.533578,15.429336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.549578,15.445336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.565578,15.461336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.583578,15.479336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.601578,15.497336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.618578,15.514336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.631578,15.527336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
